Attaching to sophia-in-a-box-master_kafka-client-service_1
[36mkafka-client-service_1  |[0m %7|1604644425.065|MEMBERID|giang_test#consumer-1| [thrd:app]: Group "rangingtool_ipm_consumer_grp_dev": updating member id "(not-set)" -> ""
[36mkafka-client-service_1  |[0m %7|1604644425.068|WAKEUPFD|giang_test#consumer-1| [thrd:app]: GroupCoordinator: Enabled low-latency ops queue wake-ups
[36mkafka-client-service_1  |[0m %7|1604644425.068|BROKER|giang_test#consumer-1| [thrd:app]: GroupCoordinator: Added new broker with NodeId -1
[36mkafka-client-service_1  |[0m %7|1604644425.068|BRKMAIN|giang_test#consumer-1| [thrd:GroupCoordinator]: GroupCoordinator: Enter main broker thread
[36mkafka-client-service_1  |[0m %7|1604644425.069|WAKEUPFD|giang_test#consumer-1| [thrd:app]: broker:9092/bootstrap: Enabled low-latency ops queue wake-ups
[36mkafka-client-service_1  |[0m %7|1604644425.083|BROKER|giang_test#consumer-1| [thrd:app]: broker:9092/bootstrap: Added new broker with NodeId -1
[36mkafka-client-service_1  |[0m %7|1604644425.089|INIT|giang_test#consumer-1| [thrd:app]: librdkafka v1.5.0 (0x10500ff) giang_test#consumer-1 initialized (builtin.features gzip,snappy,ssl,sasl,regex,lz4,sasl_plain,sasl_scram,plugins,zstd,sasl_oauthbearer, STATIC_LINKING GCC GXX PKGCONFIG INSTALL GNULD LDS LIBDL PLUGINS STATIC_LIB_zlib ZLIB STATIC_LIB_libcrypto STATIC_LIB_libssl SSL STATIC_LIB_libzstd ZSTD HDRHISTOGRAM SYSLOG SNAPPY SOCKEM SASL_SCRAM SASL_OAUTHBEARER CRC32C_HW, debug 0xfffff)
[36mkafka-client-service_1  |[0m %7|1604644425.091|CGRPOP|giang_test#consumer-1| [thrd:main]: Group "rangingtool_ipm_consumer_grp_dev" received op SUBSCRIBE (v0) in state init (join state init, v1 vs 0)
[36mkafka-client-service_1  |[0m %7|1604644425.091|SUBSCRIBE|giang_test#consumer-1| [thrd:main]: Group "rangingtool_ipm_consumer_grp_dev": subscribe to new subscription of 1 topics (join state init)
[36mkafka-client-service_1  |[0m %7|1604644425.091|UNSUBSCRIBE|giang_test#consumer-1| [thrd:main]: Group "rangingtool_ipm_consumer_grp_dev": unsubscribe from current unset subscription of 0 topics (leave group=no, join state init, v1)
[36mkafka-client-service_1  |[0m %7|1604644425.091|GRPLEADER|giang_test#consumer-1| [thrd:main]: Group "rangingtool_ipm_consumer_grp_dev": resetting group leader info: unsubscribe
[36mkafka-client-service_1  |[0m %7|1604644425.091|REBALANCE|giang_test#consumer-1| [thrd:main]: Group "rangingtool_ipm_consumer_grp_dev" is rebalancing in state init (join-state init) without assignment: unsubscribe
